property_type,society,sector,price_per_sqft,areaWithType,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Price_in_Crore,price,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
house,independent,khandsa,10089.0,Plot area 446(41.43 sq.m.),446.0,5,3,2,3.0,,Old Property,,0.45,,446.0,,0,0,0,0,0,0,0
flat,birla navya,sector 63a,14632.0,Carpet area: 200,2153.0,3,3,3,4.0,East,Under Construction,3.15,,,,200.0,0,0,0,0,1,0,44
flat,baani city center,sector 63,10945.0,Built Up area: 804 (74.69 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.),804.0,1,1,2,4.0,,Undefined,0.88,,,804.0,600.0,0,0,0,0,0,0,0
flat,shapoorji pallonji joyville gurugram,sector 102,10638.0,Super Built up area 1692(157.19 sq.m.),1692.0,3,3,3,1.0,East,Relatively New,1.8,,1692.0,,,0,0,0,0,0,0,141
flat,bestech park view residency,sector 2,7646.0,Super Built up area 1780(165.37 sq.m.),1779.0,3,3,3+,5.0,South-West,Moderately Old,1.36,,1780.0,,,0,0,0,0,0,0,84
house,independent,sector 3 phase 2,9444.0,Carpet area: 900 (83.61 sq.m.),900.0,5,3,3,1.0,,Undefined,,0.85,,,900.0,0,0,0,0,0,0,0
flat,element one service,sispal vihar,11765.0,Built Up area: 850 (78.97 sq.m.)Carpet area: 689 sq.ft. (64.01 sq.m.),850.0,1,1,1,8.0,North-East,Undefined,1.0,,,850.0,689.0,0,0,0,0,0,0,0
house,independent,sector 50,38703.0,Plot area 2700(250.84 sq.m.)Built Up area: 4000 sq.ft. (371.61 sq.m.),2700.0,4,5,2,3.0,North,Moderately Old,,10.45,,4000.0,,1,1,0,1,0,2,142
house,project housing board colony,sector 28,17695.0,Carpet area: 1300 (120.77 sq.m.),1458.0,4,2,2,2.0,,Undefined,,2.58,,,1300.0,0,0,0,0,0,0,0
flat,dlf new town heights,sector 90,6894.0,Super Built up area 2727(253.35 sq.m.)Built Up area: 2726 sq.ft. (253.25 sq.m.)Carpet area: 2725 sq.ft. (253.16 sq.m.),2727.0,4,4,3+,20.0,South,Relatively New,1.88,,,2726.0,2725.0,0,1,0,1,0,0,145
house,dlf gardencity enclave,sector 93,11284.0,Plot area 1152(107.02 sq.m.),1152.0,3,2,1,3.0,,Relatively New,,1.3,,1152.0,,0,0,0,0,0,0,50
flat,imperia the esfera,sector 37c,6272.0,Built Up area: 1435 (133.32 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),1435.0,3,3,3,9.0,East,Undefined,0.9,,,1435.0,1100.0,0,0,0,0,0,0,66
flat,bptp terra,sector 37d,7622.0,Super Built up area 2191(203.55 sq.m.)Built Up area: 2091 sq.ft. (194.26 sq.m.)Carpet area: 1991 sq.ft. (184.97 sq.m.),2191.0,4,4,3,11.0,West,Relatively New,1.67,,,2091.0,1991.0,0,0,0,0,0,2,149
flat,puri diplomatic greens,sector 111,13000.0,Super Built up area 3000(278.71 sq.m.)Carpet area: 2950 sq.ft. (274.06 sq.m.),3000.0,4,5,3+,6.0,North-East,Relatively New,3.9,,,,2950.0,0,1,0,0,0,1,160
flat,indiabulls centrum park,sector 103,9182.0,Super Built up area 2875(267.1 sq.m.)Carpet area: 2570 sq.ft. (238.76 sq.m.),2570.0,4,6,3+,8.0,East,Relatively New,2.36,,,,2570.0,0,1,0,0,0,2,159
flat,avl 36 gurgaon,sector 36a,7500.0,Super Built up area 1000(92.9 sq.m.)Carpet area: 727 sq.ft. (67.54 sq.m.),1000.0,2,2,2,5.0,North-East,Relatively New,0.75,,,,727.0,0,0,0,0,0,0,26
flat,breez global heights,sohna road,6598.0,Carpet area: 394 (36.6 sq.m.),394.0,1,1,1,6.0,,New Property,0.26,,,,394.0,0,0,0,0,0,0,26
flat,ss the leaf,sector 85,5026.0,Super Built up area 3950(366.97 sq.m.)Built Up area: 3890 sq.ft. (361.39 sq.m.)Carpet area: 3800 sq.ft. (353.03 sq.m.),3800.0,4,6,3,6.0,North,Relatively New,1.91,,,3890.0,3800.0,0,1,0,0,0,0,174
house,independent,sector 4,14444.0,Plot area 250(209.03 sq.m.),2250.0,3,3,2,2.0,South-East,Old Property,,3.25,,2250.0,,0,0,0,0,0,0,27
flat,godrej,sector 33,6859.0,Super Built up area 1385(128.67 sq.m.),1385.0,2,2,3+,3.0,South-East,Under Construction,0.95,,1385.0,,,0,0,0,0,0,0,0
house,independent,sector 36,6938.0,Built Up area: 1081 (100.43 sq.m.),1081.0,3,1,0,1.0,,Undefined,,0.75,,1081.0,,0,0,0,0,0,0,0
flat,emaar mgf the palm drive,sector 66,15130.0,Super Built up area 1200(111.48 sq.m.)Built Up area: 1188 sq.ft. (110.37 sq.m.)Carpet area: 998 sq.ft. (92.72 sq.m.),998.0,2,2,2,5.0,North,Relatively New,1.51,,,1188.0,998.0,0,0,0,1,0,2,82
flat,m3m sierra 68,sector 68,8986.0,Super Built up area 1224(113.71 sq.m.)Built Up area: 1150 sq.ft. (106.84 sq.m.)Carpet area: 830 sq.ft. (77.11 sq.m.),1224.0,2,2,3,1.0,North-East,Relatively New,1.1,,,1150.0,830.0,0,0,0,0,0,2,127
house,ansal heights,sector 92,9793.0,Plot area 312(260.87 sq.m.)Built Up area: 5000 sq.yards (4180.64 sq.m.),2808.0,4,4,3+,3.0,,Relatively New,,2.75,,5000.0,,1,0,0,1,0,0,0
flat,tulip ivory,sector 70,10416.0,Carpet area: 4800 (445.93 sq.m.),4800.0,6,7,3+,0.0,,Relatively New,5.0,,,,4800.0,1,1,0,0,0,0,119
house,independent,block h sector 3 phase iii extension,8947.0,Plot area 950(88.26 sq.m.),950.0,6,6,2,2.0,North,Relatively New,,0.85,,950.0,,1,1,0,1,1,0,43
house,independent,shivaji nagar,17857.0,Plot area 1400(130.06 sq.m.)Built Up area: 1850 sq.ft. (171.87 sq.m.),1400.0,5,4,3,1.0,East,Old Property,,2.5,,1850.0,,0,0,1,0,0,0,0
flat,orris aster court premier,sector 85,6757.0,Super Built up area 2560(237.83 sq.m.)Built Up area: 2017 sq.ft. (187.39 sq.m.),2560.0,4,5,3+,8.0,East,Relatively New,1.73,,,2017.0,,0,1,0,0,0,0,16
flat,antriksh heights,sector 84,4869.0,Super Built up area 1725(160.26 sq.m.),1725.0,3,3,3+,8.0,,New Property,0.84,,1725.0,,,0,0,0,1,0,0,60
house,international city by sobha phase 2,sector 109,12963.0,Plot area 600(501.68 sq.m.),5400.0,4,4,3+,2.0,West,Relatively New,,7.0,,5400.0,,0,0,0,0,0,2,102
flat,m3m skywalk,sector 74,12500.0,Carpet area: 1424 (132.29 sq.m.),1424.0,2,2,3+,12.0,,Undefined,1.78,,,,1424.0,0,0,0,0,0,0,63
flat,ireo uptown,sector 66,12567.0,Super Built up area 1472(136.75 sq.m.)Built Up area: 1470 sq.ft. (136.57 sq.m.)Carpet area: 1251 sq.ft. (116.22 sq.m.),1472.0,2,3,3,16.0,South-East,Relatively New,1.85,,,1470.0,1251.0,0,1,0,0,1,2,79
flat,vatika the seven lamps,sector 82,6567.0,Super Built up area 1435(133.32 sq.m.),1435.0,2,2,2,12.0,East,Relatively New,0.9425,,1435.0,,,1,0,0,0,0,2,103
flat,ats tourmaline,sector 109,8000.0,Super Built up area 1750(162.58 sq.m.),1750.0,3,3,3+,12.0,North-West,Relatively New,1.4,,1750.0,,,0,0,0,0,1,0,65
house,dlf city phase 1,sector 26,33333.0,Plot area 150(125.42 sq.m.),1350.0,3,3,2,2.0,East,Moderately Old,,4.5,,1350.0,,1,1,0,0,0,0,70
flat,sare crescent parc,sector 92,4080.0,Super Built up area 1250(116.13 sq.m.),1250.0,3,2,2,2.0,North,Relatively New,0.51,,1250.0,,,0,0,0,0,0,0,72
house,independent,sector 41,29293.0,Plot area 275(229.94 sq.m.),2475.0,9,8,3,4.0,South-West,Old Property,,7.25,,2475.0,,0,1,0,0,0,2,94
house,independent,sector 39,17937.0,Plot area 892(82.87 sq.m.),892.0,1,1,2,2.0,,Old Property,,1.6,,892.0,,0,0,0,0,0,0,40
flat,m3m skywalk,sector 74,11379.0,Super Built up area 1406(130.62 sq.m.),1406.0,2,2,2,28.0,,New Property,1.6,,1406.0,,,0,0,0,0,0,0,15
house,emaar mgf marbella,sector 66,,Plot area 350(292.64 sq.m.),,5,5,3+,3.0,East,Relatively New,,,,350.0,,1,1,0,1,0,2,160
flat,emaar digihomes,sector 62,14254.0,Super Built up area 1508.26(140.12 sq.m.),1473.0,2,2,2,30.0,North,New Property,2.1,,1508.26,,,0,1,0,0,0,0,52
flat,signature the roselia,sector 95,7164.0,Carpet area: 670 (62.25 sq.m.),670.0,2,2,2,6.0,,Relatively New,0.48,,,,670.0,0,0,0,0,0,0,16
flat,orchid island,sector 51,7891.0,Carpet area: 906 (84.17 sq.m.),906.0,2,2,1,4.0,,Relatively New,0.715,,,,906.0,0,0,0,0,0,0,23
flat,antriksh heights,sector 84,4927.0,Super Built up area 1725(160.26 sq.m.),1725.0,3,3,3+,10.0,North,Relatively New,0.85,,1725.0,,,1,0,0,0,0,0,52
flat,ats triumph,sector 104,8813.0,Super Built up area 3150(292.64 sq.m.)Carpet area: 2950 sq.ft. (274.06 sq.m.),2950.0,4,4,3+,16.0,East,Relatively New,2.6,,,,2950.0,0,1,0,0,0,2,150
house,independent,surat nagar,7280.0,Plot area 145(121.24 sq.m.),1305.0,7,6,3+,3.0,,Old Property,,0.95,,1305.0,,0,0,0,0,0,0,0
flat,shapoorji pallonji joyville gurugram,sector 102,15514.0,Super Built up area 1852(172.06 sq.m.)Carpet area: 1128 sq.ft. (104.79 sq.m.),1128.0,3,3,3+,1.0,East,Relatively New,1.75,,,,1128.0,0,0,0,0,0,0,49
flat,godrej,sector 79,8511.0,Super Built up area 2244(208.47 sq.m.),2244.0,3,4,3+,7.0,North-East,Relatively New,1.91,,2244.0,,,0,1,0,0,0,0,158
flat,signature global solera,sector 107,5725.0,Carpet area: 489 (45.43 sq.m.),489.0,2,2,2,6.0,West,Relatively New,0.28,,,,489.0,0,0,0,0,0,0,45
flat,emaar mgf emerald floors premier,sector 65,14242.0,Built Up area: 1650 (153.29 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),1650.0,3,3,3,2.0,South-West,Relatively New,2.35,,,1650.0,1200.0,1,1,0,0,0,0,158
flat,emaar gurgaon greens,sector 102,8484.0,Super Built up area 1650(153.29 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),1650.0,3,3,3,10.0,East,Relatively New,1.4,,,1300.0,1022.58,0,1,0,0,0,0,46
house,vatika signature villas,sector 82,15432.0,Plot area 360(301.01 sq.m.),3240.0,4,4,3+,3.0,East,Relatively New,,5.0,,3240.0,,0,1,1,1,0,0,24
flat,godrej summit,sector 104,5000.0,Carpet area: 2700 (250.84 sq.m.),2700.0,4,5,3+,0.0,North-East,Relatively New,1.35,,,,2700.0,1,1,1,1,0,0,112
flat,shapoorji pallonji joyville gurugram,sector 102,12000.0,Super Built up area 1692(157.19 sq.m.)Carpet area: 1027.68 sq.ft. (95.47 sq.m.),1692.0,3,3,2,1.0,,New Property,2.03,,,,1027.68,0,0,0,0,0,0,67
flat,tulip monsella,sector 53,28000.0,Super Built up area 2940(273.13 sq.m.),2946.0,3,4,3,8.0,,Under Construction,8.25,,2940.0,,,0,1,0,0,0,1,35
flat,la vida by tata housing,sector 113,16363.0,Built Up area: 2217 (205.97 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),1650.0,3,4,3+,4.0,North-West,Relatively New,2.7,,,2217.0,1650.0,0,1,0,0,0,2,49
flat,railway officers rpf society,sector 9a,6921.0,Carpet area: 1806 (167.78 sq.m.),1806.0,4,3,3,1.0,,Old Property,1.25,,,,1806.0,0,1,0,0,0,0,40
house,dlf the arbour,sector 63,21519.0,Built Up area: 3950 (366.97 sq.m.),3950.0,4,4,3+,27.0,,Undefined,,8.5,,3950.0,,0,0,0,0,0,0,61
house,independent,sector-5 sheetla colony,5555.0,Plot area 540(50.17 sq.m.),540.0,1,1,2,1.0,,New Property,,0.3,,540.0,,0,0,0,0,0,0,0
house,mian wali,sector 12,9444.0,Plot area 1800(167.23 sq.m.),1800.0,1,1,1,1.0,,Old Property,,1.7,,1800.0,,0,1,0,0,0,0,7
house,independent,sector 14,16975.0,Plot area 360(301.01 sq.m.)Built Up area: 355 sq.yards (296.83 sq.m.)Carpet area: 300 sq.yards (250.84 sq.m.),3240.0,5,4,2,2.0,East,Old Property,,5.5,,355.0,300.0,1,0,0,0,0,0,27
flat,the lions cghs,sector 56,8750.0,Super Built up area 2400(222.97 sq.m.)Built Up area: 2200 sq.ft. (204.39 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),2400.0,3,4,3+,8.0,West,Old Property,2.1,,,2200.0,2000.0,0,0,0,0,1,2,166
flat,zara aavaas,sector 104,7302.0,Carpet area: 301.28 (27.99 sq.m.),301.0,1,2,2,2.0,,New Property,0.22,,,,301.28,0,0,0,0,0,0,60
flat,dlf carlton estate,sector 43,15418.0,Super Built up area 1362(126.53 sq.m.),1362.0,3,3,1,2.0,East,Old Property,2.1,,1362.0,,,0,0,1,0,0,2,88
house,rattan garden,rattan garden,8730.0,Plot area 140(117.06 sq.m.),1260.0,9,3,3,3.0,,Old Property,,1.1,,1260.0,,0,0,0,0,0,0,7
flat,experion windchants,sector 112,11428.0,Built Up area: 2800 (260.13 sq.m.),3194.0,3,5,2,3.0,South-West,Relatively New,3.65,,,2800.0,,0,1,0,0,0,0,72
flat,godrej oasis,sector 88a,16747.0,Carpet area: 124,1582.0,3,3,3+,10.0,,New Property,2.65,,,,124.0,0,0,0,0,0,0,110
flat,the close north,sector 50,11209.0,Super Built up area 2605(242.01 sq.m.)Built Up area: 2600 sq.ft. (241.55 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),2605.0,3,3,3,10.0,North,Moderately Old,2.92,,,2600.0,2100.0,0,1,0,0,0,2,174
flat,ambience creacions,sector 22,11956.0,Super Built up area 1380(128.21 sq.m.)Built Up area: 1200 sq.ft. (111.48 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),1380.0,2,2,2,9.0,East,Relatively New,1.65,,,1200.0,1000.0,0,0,0,1,1,1,133
house,independent,sector 25,29333.0,Plot area 375(313.55 sq.m.),3375.0,5,5,2,2.0,South-East,Moderately Old,,9.9,,3375.0,,0,0,0,1,0,2,106
flat,sare green parc 2,sector 92,4745.0,Super Built up area 1454(135.08 sq.m.)Built Up area: 1415 sq.ft. (131.46 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),1581.0,3,3,3,2.0,East,Relatively New,0.75,,,1415.0,1350.0,0,0,0,0,1,2,49
flat,m3m golfestate,sector 65,15998.0,Carpet area: 3844 (357.12 sq.m.),3844.0,3,5,3+,1.0,West,Relatively New,6.15,,,,3844.0,0,1,0,0,0,1,49
flat,godrej icon,sector 88a,8100.0,Super Built up area 1617(150.22 sq.m.),1617.0,2,2,3+,3.0,North-West,Relatively New,1.31,,1617.0,,,1,0,0,0,0,0,102
flat,gls avenue 51,sector 92,7106.0,Carpet area: 591 (54.91 sq.m.),591.0,2,2,1,4.0,East,Relatively New,0.42,,,,591.0,1,0,0,1,0,2,42
flat,tata primanti,sector 72,12190.0,Super Built up area 2625(243.87 sq.m.)Built Up area: 2600 sq.ft. (241.55 sq.m.)Carpet area: 2550 sq.ft. (236.9 sq.m.),2625.0,4,4,3+,8.0,North,Moderately Old,3.2,,,2600.0,2550.0,0,1,0,0,0,2,168
house,ansals palam vihar,sector 2,14729.0,Plot area 430(359.53 sq.m.)Built Up area: 4550 sq.yards (3804.38 sq.m.)Carpet area: 4450 sq.yards (3720.77 sq.m.),3870.0,5,5,2,2.0,North-East,Old Property,,5.7,,4550.0,4450.0,0,0,0,1,0,1,94
house,independent,sector 2,9074.0,Carpet area: 120 (100.34 sq.m.),1080.0,9,4,3,1.0,South,Undefined,,0.98,,,120.0,0,0,0,0,0,0,0
flat,ambience creacions,sector 22,28101.0,Super Built up area 2781(258.36 sq.m.)Carpet area: 1459 sq.ft. (135.55 sq.m.),1459.0,3,3,3+,2.0,North-East,New Property,4.1,,,,1459.0,0,0,0,0,0,1,119
house,independent,sector 40,21124.0,Plot area 263(219.9 sq.m.),2367.0,9,9,3+,3.0,South-East,Relatively New,,5.0,,2367.0,,0,0,0,1,0,2,66
house,independent,surat nagar phase 2,60000.0,Plot area 50(4.65 sq.m.),50.0,6,3,3,3.0,South,Moderately Old,,0.3,,50.0,,0,0,0,0,0,0,0
flat,signature global park,sohna road,8252.0,Carpet area: 824 (76.55 sq.m.),824.0,2,2,2,3.0,,New Property,0.68,,,,824.0,0,0,0,0,0,0,113
flat,global height,sohna road,6338.0,Carpet area: 710 (65.96 sq.m.),710.0,2,2,2,6.0,East,Relatively New,0.45,,,,710.0,0,0,0,0,0,1,49
house,independent,sector 3 phase 3 extension,5000.0,Built Up area: 1100 (102.19 sq.m.),1100.0,2,1,0,1.0,,Undefined,,0.55,,1100.0,,0,0,0,0,0,0,0
flat,antriksh heights,sector 84,4821.0,Super Built up area 1825(169.55 sq.m.),1825.0,3,3,3,16.0,,Relatively New,0.88,,1825.0,,,0,0,0,1,0,0,67
flat,ashiana mulberry,sohna road,6016.0,Carpet area: 1230 (114.27 sq.m.),1230.0,2,2,3+,12.0,,Relatively New,0.74,,,,1230.0,0,0,0,0,0,0,71
flat,mapsko mount ville,sector 79,9091.0,Built Up area: 1815 (168.62 sq.m.),1815.0,3,3,0,12.0,,Undefined,1.65,,,1815.0,,0,0,0,0,0,0,0
house,project mianwali colony,sector 12,14815.0,Built Up area: 1350 (125.42 sq.m.),1350.0,5,5,2,3.0,East,Undefined,,2.0,,1350.0,,0,0,0,0,0,0,0
flat,unitech fresco,sector 50,8532.0,Super Built up area 1336(124.12 sq.m.)Built Up area: 1330 sq.ft. (123.56 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),1336.0,2,2,2,19.0,East,Moderately Old,1.14,,,1330.0,1100.0,0,0,0,0,1,2,174
flat,shree vardhman victoria,sector 70,7925.0,Super Built up area 1350(125.42 sq.m.),1350.0,2,2,3,8.0,North,Relatively New,1.07,,1350.0,,,1,0,0,0,0,0,108
flat,shree vardhman victoria,sector 70,8461.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1267 sq.ft. (117.71 sq.m.),1950.0,3,4,3,1.0,North,Relatively New,1.65,,,,1267.0,0,1,0,0,0,1,167
flat,corona gracieux,sector 76,5510.0,Super Built up area 1960(182.09 sq.m.),1960.0,3,3,3,1.0,,New Property,1.08,,1960.0,,,0,1,0,0,0,0,58
flat,krisumi waterfall residences,sector 36a,14874.0,Super Built up area 1479(137.4 sq.m.),1479.0,2,2,2,23.0,North,New Property,2.2,,1479.0,,,0,0,0,0,0,0,15
flat,adani m2k oyster grande,sector 102,7817.0,Super Built up area 3198(297.1 sq.m.),3198.0,4,5,3+,5.0,South,Relatively New,2.5,,3198.0,,,0,1,0,0,0,0,76
house,luxury dlf city floors,sector 26,48889.0,Plot area 500(418.06 sq.m.),4091.0,16,16,3+,4.0,,New Property,,20.0,,500.0,,0,1,0,0,0,2,31
house,adani brahma samsara,sector 60,28200.0,Built Up area: 6390 (593.65 sq.m.),6390.0,9,12,3+,3.0,North-East,Relatively New,,18.02,,6390.0,,0,1,0,0,0,2,146
flat,gls avenue 51,sector 92,7812.0,Carpet area: 640 (59.46 sq.m.),640.0,3,3,1,12.0,,New Property,0.5,,,,640.0,0,0,0,0,0,1,95
house,independent,sector 26,35294.0,Plot area 255(213.21 sq.m.),2295.0,5,5,2,4.0,East,Old Property,,8.1,,2295.0,,0,0,0,0,0,0,42
flat,bestech park view grand spa,sector 81,9022.0,Super Built up area 2660(247.12 sq.m.),2660.0,3,4,3+,8.0,North,New Property,2.4,,2660.0,,,1,1,0,0,0,2,167
flat,shree vardhman victoria,sector 70,13953.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),1161.0,3,3,3,9.0,North,Relatively New,1.62,,,,1161.0,0,1,0,0,0,0,96
flat,pioneer park,sector 61,14623.0,Super Built up area 1795(166.76 sq.m.)Built Up area: 1595 sq.ft. (148.18 sq.m.)Carpet area: 1395 sq.ft. (129.6 sq.m.),1395.0,3,3,3+,16.0,South,Moderately Old,2.04,,,1595.0,1395.0,0,1,0,0,0,2,165
flat,m3m capital,sector 113,13969.0,Built Up area: 1310 (121.7 sq.m.),1310.0,2,2,0,7.0,,Undefined,1.83,,,1310.0,,0,0,0,0,0,0,68
flat,supertech araville,sector 79,5522.0,Built Up area: 1295 (120.31 sq.m.),1295.0,2,2,0,9.0,,Under Construction,0.715,,,1295.0,,0,0,0,0,0,0,0
flat,smriti apartment,sector 56,10000.0,Super Built up area 600(55.74 sq.m.),600.0,1,1,1,2.0,,Moderately Old,0.6,,600.0,,,0,0,0,0,0,0,49
house,sector 15 part 2 rwa,sector 15,22222.0,Plot area 502(419.74 sq.m.),4500.0,5,5,2,2.0,East,Old Property,,10.0,,4518.0,,0,0,0,0,0,0,49
flat,dlf belvedere towers,sector 25,17619.0,Carpet area: 2100 (195.1 sq.m.),2100.0,4,4,3,18.0,North-West,Old Property,3.7,,,,2100.0,0,1,0,0,0,2,26
flat,beverley park 1,sector 43,16230.0,Super Built up area 5200(483.1 sq.m.)Built Up area: 5000 sq.ft. (464.52 sq.m.)Carpet area: 4900 sq.ft. (455.22 sq.m.),5200.0,4,5,3,9.0,North-East,Moderately Old,8.44,,,5000.0,4900.0,0,1,0,0,0,1,117
flat,tulip violet,sector 69,8841.0,Super Built up area 1538(142.88 sq.m.),1538.0,3,3,1,12.0,North-West,Relatively New,1.36,,1538.0,,,0,0,0,1,0,0,86
flat,m3m woodshire,sector 107,6421.0,Super Built up area 1534(142.51 sq.m.)Carpet area: 1056 sq.ft. (98.11 sq.m.),1534.0,2,2,3,7.0,West,Relatively New,0.985,,,,1056.0,1,0,0,0,0,2,174
flat,emaar digihomes,sector 62,14257.0,Carpet area: 1508 (140.1 sq.m.),1508.0,2,2,3,31.0,,Under Construction,2.15,,,,1508.0,0,0,0,0,0,0,101
flat,shree vardhman flora,sector 90,4951.0,Super Built up area 2575(239.23 sq.m.)Carpet area: 1950 sq.ft. (181.16 sq.m.),2565.0,4,5,2,9.0,North-East,New Property,1.27,,,,1950.0,1,1,0,0,0,0,83
flat,unitech uniworld gardens,sector 47,11505.0,Super Built up area 2086(193.8 sq.m.),2086.0,3,3,3+,10.0,,Moderately Old,2.4,,2086.0,,,0,1,0,0,0,2,120
flat,mvn athens,sohna road,7056.0,Carpet area: 340.09 (31.6 sq.m.),340.0,1,1,1,12.0,West,Relatively New,0.24,,,,340.09,0,0,0,0,0,0,66
flat,rof ananda,sector 95,5463.0,Carpet area: 366.08 (34.01 sq.m.),366.0,1,1,1,9.0,South-West,Relatively New,0.2,,,,366.08,0,0,0,1,0,0,52
flat,ambience creacions,sector 22,17391.0,Super Built up area 1380(128.21 sq.m.)Built Up area: 1200 sq.ft. (111.48 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),1380.0,2,2,2,8.0,South-East,Relatively New,2.4,,,1200.0,900.0,0,0,0,0,1,1,112
flat,tarc maceo,sector 91,5413.0,Super Built up area 1404(130.44 sq.m.),1774.0,2,2,3+,8.0,East,Moderately Old,0.96,,1404.0,,,0,0,0,0,0,0,85
flat,sobha city,sector 108,14611.0,Super Built up area 1711(158.96 sq.m.)Built Up area: 1480 sq.ft. (137.5 sq.m.)Carpet area: 1111.44 sq.ft. (103.26 sq.m.),1711.0,3,3,2,19.0,East,New Property,2.5,,,1480.0,1111.44,0,0,0,0,0,0,166
flat,signature global park,sohna road,7308.0,Super Built up area 1081(100.43 sq.m.),1081.0,3,2,3+,4.0,,Under Construction,0.79,,1081.0,,,0,0,0,0,0,0,109
flat,ild greens,sector 37a,4476.0,Built Up area: 1765 (163.97 sq.m.),1765.0,4,4,2,7.0,,Undefined,0.79,,,1765.0,,0,0,0,0,0,0,51
flat,shree vardhman victoria,sector 70,8358.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),1950.0,3,5,3,12.0,East,Relatively New,1.63,,,,1161.0,0,1,0,0,0,0,43
house,emaar mgf marbella,sector 66,,Plot area 350(292.64 sq.m.),,5,5,3,2.0,,Relatively New,,,,350.0,,0,0,0,0,0,2,22
flat,zara aavaas,sector 104,6577.0,Super Built up area 745(69.21 sq.m.)Carpet area: 645 sq.ft. (59.92 sq.m.),745.0,3,2,2,7.0,,Under Construction,0.49,,,,645.0,0,0,0,0,0,0,74
flat,emaar imperial gardens,sector 102,9550.0,Super Built up area 2000(185.81 sq.m.)Carpet area: 1228.17 sq.ft. (114.1 sq.m.),2000.0,3,4,2,17.0,East,Relatively New,1.91,,,,1228.17,1,1,0,0,0,2,152
flat,rof ananda,sector 95,6919.0,Carpet area: 549.17 (51.02 sq.m.),549.0,2,2,1,4.0,,New Property,0.38,,,,549.17,0,0,0,0,0,0,0
flat,experion the heartsong,sector 108,8387.0,Super Built up area 2003(186.08 sq.m.)Built Up area: 1338.29 sq.ft. (124.33 sq.m.)Carpet area: 986.41 sq.ft. (91.64 sq.m.),2003.0,3,3,3+,4.0,East,Relatively New,1.68,,,1338.29,986.41,1,1,0,0,0,2,86
house,independent,sector 28,125000.0,Built Up area: 360 (33.45 sq.m.),360.0,4,4,0,4.0,,Undefined,,4.5,,360.0,,0,0,0,0,0,0,0
flat,bptp terra,sector 37d,7730.0,Super Built up area 1811(168.25 sq.m.)Built Up area: 1711 sq.ft. (158.96 sq.m.)Carpet area: 1611 sq.ft. (149.67 sq.m.),1811.0,3,3,3,5.0,South-East,Relatively New,1.4,,,1711.0,1611.0,0,0,0,0,0,2,149
flat,m3m heights,sector 65,13300.0,Super Built up area 1828(169.83 sq.m.),1835.0,3,3,2,7.0,,Under Construction,2.44,,1828.0,,,0,0,0,0,0,0,31
flat,tulip violet,sector 69,9252.0,Super Built up area 1578(146.6 sq.m.),1578.0,3,3,2,0.0,North-East,Relatively New,1.46,,1578.0,,,0,0,0,1,0,2,174
flat,pyramid urban homes 2,sector 86,8582.0,Carpet area: 501 (46.54 sq.m.),501.0,2,2,1,6.0,North-East,New Property,0.43,,,,501.0,1,0,0,0,0,0,92
house,project housing board colony,sector 31,63492.0,Built Up area: 140 (117.06 sq.m.),1260.0,2,1,0,1.0,,Undefined,,8.0,,140.0,,0,0,0,0,0,0,0
house,independent,sector 105,7400.0,Built Up area: 1000 (92.9 sq.m.),1000.0,3,3,0,2.0,,Undefined,,0.74,,1000.0,,0,0,0,0,0,0,0
flat,ramsons kshitij,sector 95,6470.0,Super Built up area 340(31.59 sq.m.),340.0,1,1,1,2.0,,New Property,0.22,,340.0,,,0,0,0,0,0,0,0
flat,pioneer araya,sector 62,19513.0,Super Built up area 4279(397.53 sq.m.),4279.0,4,6,3,16.0,East,Relatively New,8.35,,4279.0,,,0,1,0,1,0,0,153
house,independent,sector 7,15625.0,Plot area 160(133.78 sq.m.),1440.0,3,3,2,2.0,North-West,Old Property,,2.25,,1440.0,,0,0,0,0,0,2,27
flat,bestech park view spa next,sector 67,11489.0,Super Built up area 2350(218.32 sq.m.),2350.0,4,4,3+,9.0,South-West,Moderately Old,2.7,,2350.0,,,0,1,0,1,0,2,149
flat,sidhartha ncr greens,sector 95,6201.0,Carpet area: 1548 (143.81 sq.m.),1548.0,3,3,3,8.0,,New Property,0.96,,,,1548.0,0,0,1,1,0,0,8
