property_type,society,sector,price_per_sqft,areaWithType,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Price_in_Crore,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,vatika gurgaon,sector 83,7179.0,Carpet area: 1950 (181.16 sq.m.),1950.0,4.0,4,3,10.0,North-East,Relatively New,1.4,,,1950.0,0,1,0,0,0,0,35,487.5
house,independent,sector 4,,Built Up area: 990 (91.97 sq.m.),990.0,3.0,4,1,2.0,North,Undefined,,,990.0,,0,0,0,0,0,0,0,330.0
house,ansal sushant lok 2,sector 56,,Plot area 170(142.14 sq.m.),1530.0,3.0,6,3+,2.0,West,Moderately Old,,,1530.0,,0,0,0,0,0,2,29,510.0
flat,ireo skyon,sector 60,13393.0,Super Built up area 2800(260.13 sq.m.),2800.0,4.0,5,3,15.0,South,Relatively New,3.75,2800.0,,,0,1,0,0,0,0,167,700.0
house,independent,sector 7,,Plot area 160(133.78 sq.m.),1440.0,2.0,2,2,2.0,North-West,Old Property,,,1440.0,,0,0,0,0,0,0,22,720.0
house,"om nagar, sector-11",near khandsa road,,Plot area 720(66.89 sq.m.),720.0,2.0,2,1,0.0,East,Old Property,,,720.0,,0,0,0,0,1,0,7,0.0
flat,shree vardhman victoria,sector 70,9111.0,Super Built up area 1350(125.42 sq.m.),1350.0,2.0,2,3,1.0,North-East,Relatively New,1.23,1350.0,,,1,0,0,0,0,0,43,675.0
flat,conscient habitat,sector 99a,6422.0,Carpet area: 545 (50.63 sq.m.),545.0,2.0,2,1,3.0,North-East,Relatively New,0.35,,,545.0,0,0,0,0,0,0,62,272.5
flat,signature the serenas,sohna road,8475.0,Carpet area: 531 (49.33 sq.m.),531.0,2.0,2,1,10.0,,New Property,0.45,,,531.0,0,0,0,0,0,0,23,265.5
flat,signature global the millennia,sector 37d,9167.0,Super Built up area 850(78.97 sq.m.)Built Up area: 610 sq.ft. (56.67 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.),600.0,2.0,2,3,3.0,,New Property,0.55,,610.0,600.0,0,0,0,0,0,0,71,300.0
flat,smart world gems,sector 89,9973.0,Carpet area: 1103 (102.47 sq.m.),1103.0,2.0,2,2,3.0,,New Property,1.1,,,1103.0,0,0,1,0,0,0,77,551.5
flat,trisara our homes 3,sohna road,5980.0,Super Built up area 602(55.93 sq.m.)Carpet area: 450 sq.ft. (41.81 sq.m.),602.0,2.0,2,1,1.0,,New Property,0.36,,,450.0,0,0,0,0,0,0,45,301.0
flat,shree vardhman victoria,sector 70,8519.0,Carpet area: 1350 (125.42 sq.m.),1350.0,2.0,2,2,6.0,South-West,Relatively New,1.15,,,1350.0,1,0,0,0,0,0,85,675.0
flat,experion windchants,sector 112,10417.0,Built Up area: 4800 (445.93 sq.m.),6240.0,4.0,5,3,11.0,South,Relatively New,6.5,,4800.0,,0,0,0,0,0,0,55,1560.0
flat,bestech park view residency,sector 2,8051.0,Super Built up area 1565(145.39 sq.m.),1565.0,2.0,2,3,7.0,South-East,Moderately Old,1.26,1565.0,,,1,0,0,0,0,0,84,782.5
flat,m3m latitude,sector 65,19748.0,Super Built up area 2380(221.11 sq.m.)Carpet area: 1231 sq.ft. (114.36 sq.m.),2380.0,3.0,3,3+,9.0,North-East,Relatively New,4.7,,,1231.0,0,1,0,1,0,2,44,793.3333333333334
flat,signature the roselia,sector 95,6194.0,Built Up area: 670 (62.25 sq.m.)Carpet area: 569.25 sq.ft. (52.89 sq.m.),670.0,2.0,2,2,12.0,North,New Property,0.415,,670.0,569.25,1,0,0,0,0,2,90,335.0
flat,ireo the grand arch,sector 58,16000.0,Super Built up area 1375(127.74 sq.m.),1375.0,2.0,2,2,6.0,North-East,Relatively New,2.2,1375.0,,,0,0,0,0,0,0,42,687.5
flat,ss the leaf,sector 85,7180.0,Carpet area: 1741 (161.74 sq.m.),1741.0,2.0,2,2,16.0,North,Relatively New,1.25,,,1741.0,0,0,0,0,0,2,49,870.5
flat,conscient heritage max,sector 102,9063.0,Super Built up area 1931(179.4 sq.m.),1931.0,3.0,4,3+,16.0,South,Relatively New,1.75,1931.0,,,0,1,0,0,0,0,134,643.6666666666666
flat,imperia the esfera,sector 37c,5455.0,Super Built up area 1815(168.62 sq.m.)Built Up area: 1400 sq.ft. (130.06 sq.m.)Carpet area: 1270 sq.ft. (117.99 sq.m.),1815.0,3.0,5,3+,5.0,North-West,Relatively New,0.99,,1400.0,1270.0,0,1,0,0,0,0,49,605.0
flat,smart world gems,sector 89,10498.0,Super Built up area 1103(102.47 sq.m.),1105.0,3.0,2,3,1.0,,New Property,1.16,1103.0,,,1,0,0,0,0,0,49,368.3333333333333
flat,experion windchants,sector 112,11205.0,Super Built up area 4739(440.27 sq.m.)Built Up area: 3573.33 sq.ft. (331.97 sq.m.)Carpet area: 3400 sq.ft. (315.87 sq.m.),4739.0,4.0,6,3+,15.0,South,Relatively New,5.31,,3573.33,3400.0,0,1,0,1,0,0,72,1184.75
flat,ats tourmaline,sector 109,8897.0,Super Built up area 2585(240.15 sq.m.),2585.0,3.0,4,3+,10.0,East,New Property,2.3,2585.0,,,0,1,0,0,1,0,74,861.6666666666666
flat,supertech araville,sector 79,5882.0,Super Built up area 1530(142.14 sq.m.)Built Up area: 1450 sq.ft. (134.71 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),1530.0,2.0,2,3,5.0,,Relatively New,0.9,,1450.0,1400.0,1,0,0,0,0,0,53,765.0
flat,emaar gurgaon greens,sector 102,8182.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),1650.0,3.0,3,3,5.0,North-West,Relatively New,1.35,,,1022.58,0,1,0,0,0,0,119,550.0
flat,microtek greenburg,sector 86,8754.0,Super Built up area 1480(137.5 sq.m.),1485.0,2.0,2,3,10.0,,Relatively New,1.3,1480.0,,,1,0,0,0,0,0,38,742.5
flat,silverglades the melia,sohna road,5556.0,Built Up area: 1350 (125.42 sq.m.),1350.0,2.0,2,2,4.0,,Moderately Old,0.75,,1350.0,,0,0,0,0,0,0,70,675.0
flat,m3m heights,sector 65,14997.0,Super Built up area 1828(169.83 sq.m.),1867.0,3.0,3,3,20.0,North-East,Under Construction,2.8,1828.0,,,0,0,0,0,0,0,91,622.3333333333334
flat,palam vihar society,sector 2,7444.0,Carpet area: 4500 (418.06 sq.m.),4500.0,4.0,4,3+,2.0,,New Property,3.35,,,4500.0,1,0,0,0,0,0,66,1125.0
flat,shapoorji pallonji joyville gurugram,sector 102,11447.0,Super Built up area 1852(172.06 sq.m.)Carpet area: 1320 sq.ft. (122.63 sq.m.),1852.0,3.0,3,3,9.0,South-East,New Property,2.12,,,1320.0,0,0,0,0,0,0,109,617.3333333333334
flat,vipul lavanya,sector 81,5967.0,Carpet area: 1257 (116.78 sq.m.),1257.0,2.0,2,2,7.0,,Moderately Old,0.75,,,1257.0,0,0,0,0,0,0,37,628.5
flat,the lions cghs,sector 56,7885.0,Built Up area: 2600 (241.55 sq.m.)Carpet area: 2400 sq.ft. (222.97 sq.m.),2600.0,4.0,4,3+,7.0,West,Old Property,2.05,,2600.0,2400.0,0,0,1,0,0,2,120,650.0
flat,professional society,imt manesar,3067.0,Carpet area: 2445 (227.15 sq.m.),2445.0,3.0,4,3,3.0,East,Relatively New,0.75,,,2445.0,0,1,0,0,0,0,21,815.0
flat,shree vardhman victoria,sector 70,8462.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),1950.0,3.0,4,3,5.0,South-East,Relatively New,1.65,,,1161.0,0,1,0,0,1,2,49,650.0
flat,smart world gems,sector 89,7706.0,Carpet area: 1103 (102.47 sq.m.),1103.0,2.0,2,2,2.0,North-East,Under Construction,0.85,,,1103.0,1,0,0,0,0,0,45,551.5
flat,chd avenue,sector 71,6019.0,Super Built up area 2193(203.74 sq.m.),2193.0,4.0,4,3,14.0,South,Moderately Old,1.32,2193.0,,,0,1,0,0,0,0,65,548.25
